camp_id_post_data;camp_id_questionario;camp_id_user;camp_username;camp_timestamp_inizio;camp_timestamp_fine;camp_numero_risposte_corrette;camp_numero_risposte_totali
72070;0;null;null;"2018-03-21 10:56:23";"2018-03-21 10:56:27";0;2
72071;0;null;null;"2018-03-21 10:56:23";"2018-03-21 10:56:27";0;2
camp_singola_domanda_inizio_timestamp;camp_singola_domanda_id;camp_singola_domanda_text;camp_singola_domanda_risposta_data_id;camp_singola_domanda_risposta_data_text;camp_singola_domanda_risposta_data_corretta_bool;camp_singola_domanda_risposta_data_timestamp;fk_questionarioid
"2018-03-21 10:56:23";1;"Which sentence below is more appropriate, with reference to Risk Management?";2;"Risk management is the role of the Corporate Management Team";0;"2018-03-21 10:56:25";72070
"2018-03-21 10:56:26";2;"The Total Outstanding Long Term Debt at 30 September 2016 was 1.7 billion â‚¬. Which of the following ratios help better to evaluate the overall balance of the financial structure?";4;Interests/EBITDA;0;"2018-03-21 10:56:27";72070
"2018-03-21 10:56:23";1;"Which sentence below is more appropriate, with reference to Risk Management?";2;"Risk management is the role of the Corporate Management Team";0;"2018-03-21 10:56:25";72071
"2018-03-21 10:56:26";2;"The Total Outstanding Long Term Debt at 30 September 2016 was 1.7 billion â‚¬. Which of the following ratios help better to evaluate the overall balance of the financial structure?";4;Interests/EBITDA;0;"2018-03-21 10:56:27";72071
camp_singola_domanda_risposta_1_id;camp_singola_domanda_risposta_1_text;camp_singola_domanda_risposta_1_corretta_bool;camp_singola_domanda_risposta_2_id;camp_singola_domanda_risposta_2_text;camp_singola_domanda_risposta_2_corretta_bool;camp_singola_domanda_risposta_3_id;camp_singola_domanda_risposta_3_text;camp_singola_domanda_risposta_3_corretta_bool;camp_singola_domanda_risposta_4_id;camp_singola_domanda_risposta_4_text;camp_singola_domanda_risposta_4_corretta_bool;fk_domandaid;fk_domandaquestionario
1;"Risk management is the essential role of Internal Audit";0;2;"Risk management is the role of the Corporate Management Team";0;3;"Risk management is the role of Corporate Audit, PWC and the External Auditors";0;4;"Risk management is a task for the entire organization, coordinated by Internal Audit and supervised by the Risk Committee together with the Board of Directors";1;1;72070
1;"Net Debt/Equity";1;2;"Net Debt/EBIT";0;3;"EBITDA/Net Debt";0;4;Interests/EBITDA;0;2;72070
1;"Risk management is the essential role of Internal Audit";0;2;"Risk management is the role of the Corporate Management Team";0;3;"Risk management is the role of Corporate Audit, PWC and the External Auditors";0;4;"Risk management is a task for the entire organization, coordinated by Internal Audit and supervised by the Risk Committee together with the Board of Directors";1;1;72071
1;"Net Debt/Equity";1;2;"Net Debt/EBIT";0;3;"EBITDA/Net Debt";0;4;Interests/EBITDA;0;2;72071
